# Catálogo Bluefishing.cl
# Formato: Nombre | Precio | Categoría | URL

BADFISH Caña BAD AJING BAJS 19UL 2-10g | $29.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-bad-ajing-bajs-19ul-2-10g/
BADFISH Caña BAD AJING BAJS 18UL 1-7 | $29.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-bad-ajing-bajs-18ul-1-7/
Yamaga Blanks Early for surf 109MMH Limited | $499.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-early-for-surf-109mmh-limited/
Carrete Daiwa Legalis LT6000D | $129.990 | Carretes | https://bluefishing.cl/producto/carrete-daiwa-legalis-lt6000d/
DAIWA Carrete BG 8000 | $245.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-bg-8000/
DAIWA Carrete BG 4000 | $214.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-bg-4000/
DAIWA Carrete REVROS LT 6000 | $104.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-revros-lt-6000/
DAIWA carrete SALTIGA G 6000XH | $999.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-saltiga-g-6000xh/
DAIWA carrete BG MQ 6000D-H | $335.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-bg-mq-6000d-h/
DAIWA carrete BG MQ 8000D-H | $379.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-bg-mq-8000d-h/
DAIWA carrete BG MQ 10000D-H | $379.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-bg-mq-10000d-h/
DAIWA carrete SALTIGA G 4000XH | $999.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-saltiga-g-4000xh/
DAIWA carrete SALTIGA G 14000XH | $1.099.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-saltiga-g-14000xh/
DAIWA carrete CERTATE SW G 5000XH | $999.999 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-certate-sw-g-5000xh/
FISHBITES Carnada SHRIMP Fast Acting E-Z Camarón - Pink | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-shrimp-fast-acting-e-z-camaron-pink/
FISHBITES Carnada E-Z Shrimp FAST ACTING Orange | $12.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-e-z-shrimp-fast-acting-orange/
XESTA Caña SLOW EMOTION Summit edition B636 | $299.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-slow-emotion-summit-edition-b636/
XESTA Caña POWER PITCH STYLE S54-PPJ | $409.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-power-pitch-style-s54-ppj/
XESTA Caña RUNWAY XR 106MH | $369.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-runway-xr-106mh/
